scenario,country,tech,type,location,year,value
REF,Albania,ALPHYDMHI0,hydro,inside,2021,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2022,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2023,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2024,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2025,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2026,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2027,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2028,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2029,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2030,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2031,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2032,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2033,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2034,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2035,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2036,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2037,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2038,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2039,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2040,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2041,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2042,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2043,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2044,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2045,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2046,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2047,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2048,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2049,15.0
REF,Albania,ALPHYDMHI0,hydro,inside,2050,15.0
REF,Albania,ALPHYDMHI2,hydro,inside,2021,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2022,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2023,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2024,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2025,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2026,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2027,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2028,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2029,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2030,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2031,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2032,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2033,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2034,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2035,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2036,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2037,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2038,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2039,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2040,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2041,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2042,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2043,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2044,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2045,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2046,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2047,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2048,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2049,500.0
REF,Albania,ALPHYDMHI2,hydro,inside,2050,500.0
REF,Albania,ALPHYDMHI3,hydro,inside,2021,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2022,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2023,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2024,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2025,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2026,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2027,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2028,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2029,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2030,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2031,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2032,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2033,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2034,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2035,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2036,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2037,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2038,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2039,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2040,600.0
REF,Albania,ALPHYDMHI3,hydro,inside,2041,600.0
